127.0.0.1 - - [14/Dec/2021:15:24:27 +0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:41 +0800] "GET /ZacharyGo/tyu010we.init HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:42 +0800] "GET /ZacharyGo/tyu010we/tyu01002.render?__qi=8aedfcc9-1233-4320-bf4b-42261e787390 HTTP/1.1" 200 16501
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:42 +0800] "GET /ZacharyGo/views/np/pc/style/np/np.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:42 +0800] "GET /ZacharyGo/views/np/pc/style/jquery-ui/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:42 +0800] "GET /ZacharyGo/views/np/pc/style/jquery-ui/jquery-ui.diff.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:42 +0800] "GET /ZacharyGo/views/np/pc/style/np/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:42 +0800] "GET /ZacharyGo/views/np/pc/style/ifm-np.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:42 +0800] "GET /ZacharyGo/views/pjcommon/js/jquery-1.11.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:42 +0800] "GET /ZacharyGo/views/pjcommon/js/globalize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:42 +0800] "GET /ZacharyGo/views/pjcommon/style/jquery-ui-1.11.2/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:42 +0800] "GET /ZacharyGo/views/pjcommon/js/intarfrm-helper-16.1.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:42 +0800] "GET /ZacharyGo/views/pjcommon/js/intarfrm-skeleton.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:42 +0800] "GET /ZacharyGo/views/np/pc/js/jquery-ui-extend.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:42 +0800] "GET /ZacharyGo/views/np/common/js/np.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:42 +0800] "GET /ZacharyGo/views/programs/tyu010we/intarfrm-form-tyu01002.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:59 +0800] "POST /ZacharyGo/pjcommon.resource?lang=ja-JP&id=ListNoRecordCode&id=CodeCloseBtn HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [14/Dec/2021:15:25:59 +0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Dec/2021:16:50:56 +0800] "GET /ZacharyGo/views/np/pc/style/np/images/loading_128.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:16:50:56 +0800] "POST /ZacharyGo/tyu010we/tyu01002.action?__qi=8aedfcc9-1233-4320-bf4b-42261e787390&__act=tyu01002_gnxt_def&__item=btndef&__pagenom1=0 HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [14/Dec/2021:16:50:57 +0800] "GET /ZacharyGo/views/pjcommon/errorpage/sessionInvalidated.jsp HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [14/Dec/2021:16:50:58 +0800] "GET /ZacharyGo/views/np/pc/style/np-systemerror.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:16:51:01 +0800] "GET /ZacharyGo/tyu010we.init HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:16:51:01 +0800] "GET /ZacharyGo/tyu010we/tyu01002.render?__qi=98ceeeb0-758e-4adb-a76c-515db979d264 HTTP/1.1" 200 16402
0:0:0:0:0:0:0:1 - - [14/Dec/2021:16:51:01 +0800] "POST /ZacharyGo/pjcommon.resource?lang=ja-JP&id=ListNoRecordCode&id=CodeCloseBtn HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [14/Dec/2021:16:51:04 +0800] "POST /ZacharyGo/tyu010we/tyu01002.action?__qi=98ceeeb0-758e-4adb-a76c-515db979d264&__act=tyu01002_gnxt_def&__item=btndef&__pagenom1=0 HTTP/1.1" 200 27666
